patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,203256068570,10/04/1967,0397564042,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Khỏe mạnh,8.87,Quý cô Hồng Hoàng,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Nhật Văn Đặng,788552884126,01/01/1976,0304789096,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tim mạch,7.74,Nhật Xuân Dương,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,431056148879,10/09/1993,0573827176,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Tim mạch,7.2,Linh Phạm,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Vi Nguyễn,644266247663,05/01/1969,0897325897,johnhoang@example.org,"1 Jane Khu
JohnXã, 736745",Tiểu đường,11.71,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,250400150578,30/05/1968,0897193293,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Tiểu đường,8.95,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,613201738373,28/02/2001,0949135121,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Tiểu đường,7.2,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,983852783231,02/09/2005,0707095404,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Tiểu đường,6.22,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,888842019888,10/02/1997,0825819620,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Tiểu đường,7.25,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,257340649865,13/02/1975,0789292871,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Khỏe mạnh,5.93,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,866219669472,25/06/1951,0946440665,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Khỏe mạnh,10.26,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,814973934720,20/10/1939,0997175082,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Khỏe mạnh,6.47,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,307046042916,24/02/1999,0526820022,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Huyết áp cao,6.6,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,821059263618,06/09/1994,0892986297,etran@example.com,"1 Jane Số
JanePhường, 519904",Huyết áp cao,7.11,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,653921991946,26/03/1998,0377541291,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Huyết áp cao,10.07,An Hoàng,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Vân Bùi,327166261589,17/01/1948,0544279935,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Huyết áp cao,7.33,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,453781515053,13/08/1981,0924545853,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tiểu đường,11.76,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,226528270633,25/05/1940,0812948330,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Tim mạch,11.08,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,582151713789,24/04/1967,0836088737,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Tiểu đường,7.14,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,306661161943,19/02/1968,0585544419,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Tiểu đường,6.75,Nhật Đức Dương,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Ông Quang Bùi,777749491330,18/03/1984,0332383058,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Huyết áp cao,11.41,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,964413269147,29/10/1979,0944558258,mle@example.org,"8 Lê Khu
JanePhường, 455168",Khỏe mạnh,10.27,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,163780355494,22/01/1989,0324907405,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Tiểu đường,6.43,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,844893108459,20/05/1954,0762718222,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tim mạch,5.74,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,904643243496,30/06/1967,0976057710,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Khỏe mạnh,6.05,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,452986819155,29/09/1935,0951901455,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Huyết áp cao,10.04,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,170926298555,15/03/1950,0568125439,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Tim mạch,9.59,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,949353581239,01/03/2004,0782559102,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Khỏe mạnh,6.27,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,448401241856,18/01/1948,0769931065,vtran@example.net,"0 Trần Số
JanePhường, 153945",Huyết áp cao,9.07,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,622394823724,04/01/1983,0902155182,john49@example.org,"4 John Khu
JaneHuyện, 106402",Khỏe mạnh,3.76,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,672938740622,21/08/1964,0937713957,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Tiểu đường,4.62,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,569625539055,03/08/2001,0903088881,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Khỏe mạnh,5.03,Chị Kim Mai,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,383543365589,23/09/1994,0930768880,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Huyết áp cao,4.13,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,997087686674,26/07/1981,0342912017,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Tim mạch,11.91,Chị Duyên Lê,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Quý ông Nhiên Hoàng,045443772038,15/06/1996,0505714094,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Khỏe mạnh,8.54,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,749597377250,15/05/2004,0944846819,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Huyết áp cao,11.59,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,777144060155,01/02/1988,0744296695,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Khỏe mạnh,10.31,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,876075935802,24/01/1980,0327601176,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Tim mạch,5.09,Phương Mai,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Quý cô Bảo Lê,229514503477,21/12/1959,0773172266,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Tiểu đường,8.44,Quý ông Khoa Bùi,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Chị Ánh Vũ,871895385896,17/06/1942,0596120975,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Huyết áp cao,6.21,Bác Nam Bùi,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Hà Phú Phạm,524690043830,13/03/1939,0917449313,john52@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Huyết áp cao,8.75,Quý cô Hà Vũ,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Hải Mai Trần,319749620689,12/06/1950,0358646812,ihoang@example.org,"2 Bùi Đường
JohnXã, 536802",Tiểu đường,7.55,Cô Phương Đặng,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Hồng Dương,974522297362,14/04/1941,0569477412,qdang@example.net,"31 Lê Đường
JanePhường, 283594",Khỏe mạnh,11.05,Quý ông Phúc Lê,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Thảo Phạm,001089153979,27/04/1941,0790489147,johndang@example.com,"03 Đặng Đường
JaneThành phố, 938171",Tim mạch,8.87,Huy Hữu Dương,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Bác Minh Vũ,938752875313,08/08/1946,0994425739,btran@example.net,"Huyện JaneThành phố
44 Hoàng Số, 274739",Tim mạch,11.5,Bác Bảo Nguyễn,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Hương Bùi,779524675359,21/10/1984,0313375841,johnle@example.net,"213 Đặng Số
Quận JaneHuyện, 490084",Khỏe mạnh,4.41,Ông Nhiên Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,236368313988,20/11/1938,0500336043,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Tiểu đường,10.34,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,669562777774,20/01/1959,0728265312,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Huyết áp cao,10.42,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,586714564950,09/10/2005,0915145841,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Tiểu đường,6.94,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Hoàng Vũ,808541040616,19/12/2007,0792102382,maijohn@example.net,"995 John Ngõ
Huyện JohnXã, 536822",Huyết áp cao,7.99,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Thảo Dương,544272646147,16/04/1945,0757917400,lejane@example.com,"92 Đặng Tổ
JohnHuyện, 639995",Tim mạch,5.97,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Cô An Vũ,262015435707,23/08/1987,0975428731,kpham@example.com,"278 Dương Khu
JohnThành phố, 512344",Tim mạch,5.41,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Tùng Nguyễn,254829414389,27/12/1949,0968230992,qle@example.net,"06 John Tổ
JohnThị xã, 628750",Khỏe mạnh,6.25,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Dũng Phú Lê,252975656948,14/06/1962,0839336898,cmai@example.org,"87 John Tổ
JohnThị xã, 746447",Huyết áp cao,7.1,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Châu Nguyễn,681026131010,29/06/1985,0569156608,john69@example.com,"7 Hoàng Làng
Thị xã JohnXã, 759580",Tim mạch,8.67,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Chi Đặng,227788024424,09/05/1992,0507031804,janepham@example.com,"0 John Tổ
JaneHuyện, 281594",Tim mạch,8.44,Bác Tùng Đặng,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Anh Quang Vũ,728834025980,26/12/1975,0825518081,janevu@example.net,"75 Vũ Ngõ
JaneHuyện, 910616",Tiểu đường,8.48,Bà An Vũ,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Châu Phạm,497102771673,10/11/1962,0862665910,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Khỏe mạnh,6.34,Hải Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Hải Dương,729320182828,04/05/2000,0358407952,janedang@example.com,"9 John Hẻm
JohnThành phố, 976822",Tiểu đường,9.19,Nhật Xuân Vũ,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Thành Vũ,968558193576,12/03/1997,0891299864,gle@example.com,"27 Lê Đường
JaneXã, 807160",Khỏe mạnh,5.03,Chị Duyên Bùi,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Bảo Lê,511397799970,04/05/2000,0393650875,john04@example.com,"49 Jane Tổ
Thành phố JohnThị xã, 421709",Tim mạch,6.74,Quý cô Hải Mai,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Quang Hoàng,057519594670,01/06/1965,0717305824,johnduong@example.org,"87 John Ngõ
JaneThành phố, 691573",Khỏe mạnh,7.7,An Mai,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Bà Phương Dương,281227665385,07/03/1951,0571192407,janetran@example.net,"28 Dương Đường
JanePhường, 122827",Huyết áp cao,11.41,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Nguyễn,471726119051,01/10/1944,0742866417,snguyen@example.com,"6 Bùi Dãy
JaneThành phố, 815894",Tim mạch,7.57,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Cô Vi Nguyễn,305359718300,19/12/1975,0704078893,bmai@example.net,"752 Phạm Ngõ
Thị xã JohnQuận, 316092",Khỏe mạnh,6.21,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Mai Nguyễn,835573593255,08/02/1990,0860000610,ipham@example.org,"843 Hoàng Tổ
Huyện JohnPhường, 646571",Tim mạch,9.13,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Phương Dương,902282314089,27/09/1941,0717139717,jane85@example.net,"62 Phạm Làng
JohnThị xã, 160423",Khỏe mạnh,3.58,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Nhật Đặng,975475490362,11/12/1947,0336072106,johnvu@example.com,"398 Jane Làng
JaneThành phố, 322096",Tim mạch,5.5,Cô Yến Dương,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Lâm Tấn Vũ,171235408495,02/03/1987,0528443344,pmai@example.com,"7 Trần Dãy
JohnHuyện, 428122",Khỏe mạnh,7.17,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Hạnh Trí Phạm,303851437147,02/04/1980,0386905337,janehoang@example.org,"77 Lê Tổ
Quận JaneQuận, 668471",Tim mạch,5.87,Vân Nguyễn,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Hồng Lê,989255110177,09/11/1966,0739655408,lejohn@example.org,"997 Nguyễn Đường
JohnThành phố, 655134",Tim mạch,7.62,Tùng Vũ,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Bảo Đức Trần,020200910260,23/09/2006,0563430890,johnpham@example.net,"61 Bùi Dãy
Quận JanePhường, 968286",Huyết áp cao,6.18,Hải Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Ông Nam Lê,999508986422,12/08/1946,0707512071,pbui@example.com,"0 John Dãy
JohnThành phố, 817675",Huyết áp cao,8.27,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Nam Hoàng Hoàng,124849127231,25/12/1954,0997500441,ttran@example.org,"8 Bùi Hẻm
Huyện JohnThành phố, 558320",Khỏe mạnh,5.16,Cô Linh Hoàng,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Nam Đức Dương,883015801490,17/02/2002,0953583086,janemai@example.com,"943 John Khu
Thị xã JohnPhường, 508548",Tim mạch,4.35,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Tú Lê,781454981199,29/03/1947,0302240680,janeduong@example.net,"015 Jane Số
Huyện JaneThị xã, 917018",Tiểu đường,11.63,Nhật Mai,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Bảo Trí Vũ,885334575243,05/05/1976,0766089033,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tiểu đường,9.73,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Bảo Tấn Bùi,678867161107,19/11/1953,0794568343,jane93@example.com,"47 Jane Số
JaneHuyện, 219420",Khỏe mạnh,9.9,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý cô Vi Vũ,637725998771,08/10/1944,0376654099,iduong@example.net,"2 Bùi Ngõ
JaneXã, 520274",Khỏe mạnh,5.29,Phương Thị Đặng,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Lâm Đặng,020841035144,30/12/1957,0332127512,hoangjane@example.com,"JohnThành phố
38 Jane Tổ, 510133",Tiểu đường,11.79,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hà Lê,196024116089,07/10/1982,0812584264,jane73@example.net,"775 Jane Đường
Thành phố JanePhường, 214675",Tiểu đường,5.51,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Anh Thành Lê,018754607106,22/09/1960,0538273839,bbui@example.net,"96 Nguyễn Làng
Huyện JohnXã, 206694",Khỏe mạnh,11.33,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Trọng Bùi,072870840425,13/10/1988,0541551534,dangjane@example.com,"9 John Tổ
Quận JaneThành phố, 291936",Khỏe mạnh,9.72,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Quý cô Hải Mai,122854912741,08/12/1958,0708686750,janevu@example.org,"0 Nguyễn Dãy
Quận JaneXã, 629990",Khỏe mạnh,10.41,Quý ông Châu Bùi,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Vi Phạm,893594170247,10/02/1975,0777112008,vujohn@example.net,"7 John Khu
JohnPhường, 562806",Khỏe mạnh,9.76,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quang Trần,908882577480,12/02/1995,0983208775,phamjohn@example.net,"9 Lê Hẻm
Quận JohnXã, 467856",Khỏe mạnh,9.24,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Nhiên Vũ,860719498499,15/05/2005,0930932639,lejane@example.org,"Quận JohnQuận
672 Bùi Số, 573947",Tiểu đường,7.8,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Bảo Mai Bảo Đặng,493799809130,11/09/1935,0522296693,duongjane@example.org,"637 Đặng Khu
JohnXã, 993829",Tiểu đường,7.4,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hương Lê,533675656191,02/06/1995,0357725744,bnguyen@example.org,"Huyện JohnHuyện
5 Trần Tổ, 796787",Khỏe mạnh,11.22,Cô Kim Vũ,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,An Phạm,351563300968,02/04/2000,0893573048,lejohn@example.net,"516 Jane Ngõ
Thị xã JohnPhường, 945106",Huyết áp cao,6.61,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Hà Mai,141537641739,06/07/1936,0718189470,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Tim mạch,8.73,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Nam Vũ,817835755742,27/04/1963,0333624020,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Khỏe mạnh,10.47,Thành Xuân Dương,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Trung Nguyễn,452599070443,03/08/1943,0790409850,smai@example.net,"61 Jane Ngõ
JohnXã, 313068",Huyết áp cao,8.49,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Bùi,258996035478,02/11/1967,0944304560,phamjohn@example.com,"21 John Đường
Thị xã JaneXã, 642347",Khỏe mạnh,8.41,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,260168266984,15/10/1993,0714487742,john49@example.net,"5 Jane Hẻm
JohnHuyện, 910894",Tiểu đường,9.98,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Mai Nguyễn,695541271692,26/07/1999,0827509873,jane22@example.org,"536 Vũ Ngõ
JohnXã, 806033",Tiểu đường,5.53,Lan Phạm,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Nhật Vũ,007539290233,23/08/1977,0332640051,john87@example.org,"4 Jane Tổ
JohnPhường, 673108",Tim mạch,4.23,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Linh Nguyễn,060980259480,27/07/1986,0841837341,john38@example.org,"410 Jane Tổ
JohnXã, 200219",Khỏe mạnh,3.89,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Chị Hạnh Vũ,807498805123,26/03/1978,0577308987,udang@example.com,"291 John Hẻm
JaneHuyện, 526259",Huyết áp cao,11.94,Phương Đặng,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Hà Lê,283957750332,05/10/1976,0307034543,phamjane@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Huyết áp cao,7.04,Cô Chi Trần,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Chị Mai Bùi,192981200783,08/01/1986,0362724722,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Khỏe mạnh,6.32,Nhật Hữu Dương,06/01/2026
